Name,Brand,Price,Rating,Product_URL
Timp 2,Altra Footwear,$139.95 ,3,https://www.zappos.com/p/altra-footwear-timp-2-moroccan-blue-yellow/product/9330821/color/847054
Timp 2,Altra Footwear,$139.95 ,3,https://www.zappos.com/p/altra-footwear-timp-2-black/product/9330821/color/3
Lone Peak 4 Mid Mesh,Altra Footwear,$117.99 ,5,https://www.zappos.com/p/altra-footwear-lone-peak-4-mid-mesh-ivy-green-red-clay/product/9082593/color/847052
Guide 13,Saucony,$120.00 ,5,https://www.zappos.com/p/saucony-guide-13-grey-yellow/product/9338840/color/2906
Guide 13,Saucony,$120.00 ,5,https://www.zappos.com/p/saucony-guide-13-blue-silver/product/9338840/color/169
Guide 13,Saucony,$120.00 ,5,https://www.zappos.com/p/saucony-guide-13-blackout/product/9338840/color/17860
Lone Peak 4 Mid RSM,Altra Footwear,$144.00 ,4,https://www.zappos.com/p/altra-footwear-lone-peak-4-mid-rsm-black/product/9082595/color/3
GEL-Quantum 180 4,ASICS,$107.99 ,4,https://www.zappos.com/p/asics-gel-quantum-180-4-black-black/product/9134647/color/183092
Fresh Foam Vongo v4,New Balance,$139.99 ,4,https://www.zappos.com/p/new-balance-fresh-foam-vongo-v4-natural-indigo-lemon-slush/product/9335802/color/849373
GEL-Scram® 5,ASICS,$58.94 ,4,https://www.zappos.com/p/asics-gel-scram-5-black-white/product/9216080/color/151
GEL-Scram® 5,ASICS,$64.95 ,4,https://www.zappos.com/p/asics-gel-scram-5-metropolis-white/product/9216080/color/807669
GEL-Scram® 5,ASICS,$64.95 ,4,https://www.zappos.com/p/asics-gel-scram-5-sheet-rock-vibrant-yellow/product/9216080/color/840621
GEL-Scram® 5,ASICS,$64.95 ,4,https://www.zappos.com/p/asics-gel-scram-5-peacoat-new-leaf/product/9216080/color/840622
Lone Peak 4.5,Altra Footwear,$107.99 ,4,https://www.zappos.com/p/altra-footwear-lone-peak-4-5-carbon/product/9330798/color/8914
Lone Peak 4.5,Altra Footwear,$95.99 ,4,https://www.zappos.com/p/altra-footwear-lone-peak-4-5-gray-orange/product/9330798/color/3614
Lone Peak 4.5,Altra Footwear,$107.99 ,4,https://www.zappos.com/p/altra-footwear-lone-peak-4-5-olive-willow/product/9330798/color/847053
Lone Peak 4.5,Altra Footwear,$107.99 ,4,https://www.zappos.com/p/altra-footwear-lone-peak-4-5-black/product/9330798/color/3
Lone Peak 4.5,Altra Footwear,$107.99 ,4,https://www.zappos.com/p/altra-footwear-lone-peak-4-5-lime-red/product/9330798/color/408487
