name,p_link,price,store_name
$164.99 Sony WF-1000XM3,https://slickdeals.net/f/14034587-164-99-sony-wf-1000xm3?src=catpagev2,,eBay
Lowrance.com Reconditioned HDS-9 LIVE with No Transducer $1399 + tax FS,https://slickdeals.net/f/14035652-lowrance-com-reconditioned-hds-9-live-with-no-transducer-1399-tax-fs?src=catpagev2,,
google wifi  3 pack $159 YMMV,https://slickdeals.net/f/14035637-google-wifi-3-pack-159-ymmv?src=catpagev2,,Walmart
"Nomadgoods.com: 25% Off Mother's Day Collection from Nomad (Airpod Cases, Apple Watch Straps, Base Station Hub)",https://slickdeals.net/f/14035082-nomadgoods-com-25-off-mother-s-day-collection-from-nomad-airpod-cases-apple-watch-straps-base-station-hub?src=catpagev2,,
Ugreen USB-C to Lightning 3' MFi-Certified Nylon Braided Cable $7.79 + Free S/H Amazon Prime,https://slickdeals.net/f/14035514-ugreen-usb-c-to-lightning-3-mfi-certified-nylon-braided-cable-7-79-free-s-h-amazon-prime?src=catpagev2,$7.79,Amazon
Bose - SoundLink Wireless Around-Ear Headphones II - Black/White $159,https://slickdeals.net/f/14034893-bose-soundlink-wireless-around-ear-headphones-ii-black-white-159?src=catpagev2,$159,Best Buy
Monolith by Monoprice Portable Headphone Amplifier and DAC with THX AAA Technology Free Shipping $259.99,https://slickdeals.net/f/14035394-monolith-by-monoprice-portable-headphone-amplifier-and-dac-with-thx-aaa-technology-free-shipping-259-99?src=catpagev2,$259.99,
"Jamo S 808 Subwoofer $99, Jamo S 807 Floorstanding Speakers (Pair, Walnut)",https://slickdeals.net/f/14033600-pair-jamo-s-807-floorstanding-speakers-walnut-219-jamo-s-808-subwoofer-99-210-subwoofer-89-free-s-h?src=catpagev2,$219,Adorama
Apple Watch Series 5 40mm GPS Aluminum Case $299 & More + Free S/H @ Walmart,https://slickdeals.net/f/14033093-apple-watch-series-5-40mm-gps-aluminum-case-299-more-free-s-h-walmart?src=catpagev2,$299,Walmart
"55"" Sony XBR-55X800G 4K UHD HDR Android Smart LED HDTV (2019 Model)",https://slickdeals.net/f/14032916-55-sony-xbr-55x800g-4k-uhd-hdr-android-smart-led-hdtv-2019-model-498-free-shipping-walmart?src=catpagev2,$498,Walmart
Pioneer SEMJ503K Enclosed Dynamic Foldable Headphones @Newegg $13.99,https://slickdeals.net/f/14034272-pioneer-semj503k-enclosed-dynamic-foldable-headphones-newegg-13-99?src=catpagev2,$13.99,Newegg
Polaroid OneStep 2 i-Type Instant Camera (Coral) + Polaroid Photo Box,https://slickdeals.net/f/14033057-polaroid-originals-onestep-2-viewfinder-i-type-instant-camera-polaroid-originals-photo-box-68-fs?src=catpagev2,$68,
"55"" Hisense Quantum 4K ULED Android Smart LED TV",https://slickdeals.net/f/14032700-55-hisense-quantum-4k-uled-android-smart-led-tv-455-free-shipping?src=catpagev2,$455,Amazon
Sonance - 2-Ch. Outdoor Streaming Music System - White $799,https://slickdeals.net/f/14034623-sonance-2-ch-outdoor-streaming-music-system-white-799?src=catpagev2,$799,Best Buy
Beats Studio3 Wireless Over-Ear headphones,https://slickdeals.net/f/14034290-beats-studio3-wireless-over-ear-headphones?src=catpagev2,,Target
TiVo Stream 4K Streaming Media Player,https://slickdeals.net/f/14032034-tivo-stream-4k-49-99-free-shipping?src=catpagev2,$50,
Aukey PB-Y14 20000mAh Slim Power Bank w/ USB-C & Apple Lightning Input,https://slickdeals.net/f/14032205-20000mah-aukey-usb-powerbank-w-usb-c-usb-a-apple-lighting-port-28-free-s-h?src=catpagev2,$28,Amazon
Futurama Complete Series - $25 @ Microsoft Store,https://slickdeals.net/f/14033903-futurama-complete-series-25-microsoft-store?src=catpagev2,,
Vello Universal Softbox for Portable Flash (Large) $9.95,https://slickdeals.net/f/14034014-vello-universal-softbox-for-portable-flash-large-9-95?src=catpagev2,$9.95,B&H Photo Video
Anker Prizm II Combo 200 ANSI Lumen Full HD 1080p LED Multimedia Projector $159.99 + FSSS,https://slickdeals.net/f/14032943-anker-prizm-ii-combo-200-ansi-lumen-full-hd-1080p-led-multimedia-projector-159-99-fsss?src=catpagev2,,Amazon
AUKEY Dual USB Port 2.4A Output USB Wall Charger with Foldable Plug $5.99,https://slickdeals.net/f/14033243-aukey-dual-usb-port-2-4a-output-usb-wall-charger-with-foldable-plug-5-99?src=catpagev2,$5.99,Amazon
AUKEY USB C Wall Charger 18W Power Delivery 3.0 $10,https://slickdeals.net/f/14032976-aukey-usb-c-wall-charger-18w-power-delivery-3-0-10?src=catpagev2,$10,Amazon
Fossil Men's Gen 4 Explorist HR $129,https://slickdeals.net/f/14033738-fossil-men-s-gen-4-explorist-hr-129?src=catpagev2,$129,Amazon
RAVPower Camera Batteries Charger Set with Battery Case for Sony A6000 A6400 A6300 A6500 A7 A7II A7RII A7SII A7S A7S2 A7R A7R2 A55 A5100 RX10 (2-Pack) $16.49,https://slickdeals.net/f/14032472-ravpower-camera-batteries-charger-set-with-battery-case-for-sony-a6000-a6400-a6300-a6500-a7-a7ii-a7rii-a7sii-a7s-a7s2-a7r-a7r2-a55-a5100-rx10-2-pack-16-49?src=catpagev2,$16.49,Amazon
"SanDisk 128GB Extreme PRO UHS-I SDXC Memory Card $32.99 (Amazon, B&H)",https://slickdeals.net/f/14033327-sandisk-128gb-extreme-pro-uhs-i-sdxc-memory-card-32-99-amazon-b-h?src=catpagev2,$32.99,B&H Photo Video
