Category,URL,Name,Store Name,Price,,,,,,,,https://slickdeals.net/deal-categories/
Autos,https://slickdeals.net/f/13995206-firestone-50-off-any-oil-change-for-essential-service-providers-not-just-healthcare-providers?src=catpagev2,Firestone 50% Off Any Oil Change for Essential Service Providers (Not Just Healthcare Providers!),Firestone Auto Care,,,,,,,,,
Autos,https://slickdeals.net/f/13995599-amazon-griot-s-garage-10813stdcrd-6-dual-action-random-orbital-polisher-with-10-cord-for-115-64-free-shipping?src=catpagev2,"Amazon: Griot's Garage 10813STDCRD 6"" Dual Action Random Orbital Polisher with 10' Cord for $115.64 + Free Shipping.",Amazon,$115.64 ,,,,,,,,
Autos,https://slickdeals.net/f/13996217-milwaukee-46-tool-chest-16-drawer-598-ymmv?src=catpagev2,"Milwaukee 46"" Tool Chest 16 Drawer $598 (ymmv)",Home Depot,$598 ,,,,,,,,
Autos,https://slickdeals.net/f/13994159-mazda-free-oil-change-and-vehicle-cleaning-to-healthcare-heroes?src=catpagev2,Mazda Free Oil Change and Vehicle Cleaning to Healthcare Heroes,,,,,,,,,,
Autos,https://slickdeals.net/f/13994576-kirkland-signature-microfiber-towel-case-324-count-120?src=catpagev2,"Kirkland Signature Microfiber Towel Case, 324-count $120",Costco Wholesale,,,,,,,,,
Autos,https://slickdeals.net/f/13992551-costco-b-m-chevron-10w-30-5w-30-conventional-motor-oil-12qts-for-9-97-ymmv?src=catpagev2,Costco B&M Chevron 10w-30 & 5w-30 conventional motor oil 12qts for $9.97 YMMV,,,,,,,,,,
Autos,https://slickdeals.net/f/13991783-sportsman-4-000-3-500-watt-dual-fuel-powered-portable-generator-lpg-or-regular-gas-279-free-shipping?src=catpagev2,"Sportsman 4,000/3,500-Watt Dual-Fuel Powered Portable Generator (LPG or Regular Gas)",Home Depot,$279 ,,,,,,,,
Autos,https://slickdeals.net/f/13992689-lasko-16-in-3-speed-oscillating-wall-mount-fan-with-remote-control-39-98?src=catpagev2,Lasko 16 in. 3-Speed Oscillating Wall Mount Fan with Remote Control $39.98,Home Depot,$39.98 ,,,,,,,,
Autos,https://slickdeals.net/f/13991594-permatex-80335-muffler-and-tailpipe-sealer-1-42-amazon?src=catpagev2,Permatex 80335 Muffler and Tailpipe Sealer. $1.42 @ Amazon,Amazon,$1.42 ,,,,,,,,
Autos,https://slickdeals.net/f/13991627-sta-bil-fuel-stabilizer-1-gallon-on-clearance-at-meijer-ymmv-22-79?src=catpagev2,Sta-bil  Fuel Stabilizer 1 Gallon on Clearance at Meijer - YMMV $22.79,Meijer,$22.79 ,,,,,,,,
Autos,https://slickdeals.net/f/13988399-motorcycle-tires-get-30-back-during-michelin-dirty-30-promotion?src=catpagev2,Motorcycle Tires - Get $30 Back During Michelin Dirty 30 Promotion,Michelin,,,,,,,,,
Autos,https://slickdeals.net/f/13989974-jbl-gto-939-6x9-speakers-active-again-69-99?src=catpagev2,jbl gto 939 6x9 speakers - active again $69.99,Woot!,$69.99 ,,,,,,,,
Autos,https://slickdeals.net/f/13988210-discount-tire-credit-card-get-10-rebate-april-17-30-stacks-with-mfr-rebates?src=catpagev2,Discount tire credit card get 10% rebate April 17-30 stacks with mfr rebates,Discount Tire,,,,,,,,,
Autos,https://slickdeals.net/f/13986227-pennzoil-platinum-full-synthetic-motor-oil-bundle-pick-3-get-free-fixd-obd-ii-gen-ii-active-car-health-monitor-save-59-99?src=catpagev2,Pennzoil Platinum Full Synthetic Motor Oil Bundle (pick 3) get Free FIXD OBD-II Gen II Active Car-Health Monitor Save $59.99,Walmart,,,,,,,,,
